file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,148,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,14
style.css,149,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,20
style.css,150,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,39
style.css,151,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,13
style.css,152,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,0
style.css,153,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,7
style.css,154,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,18
style.css,155,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,0
style.css,156,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,0
style.css,157,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,0
style.css,158,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,16
style.css,159,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,15
style.css,160,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,12
style.css,161,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,25
style.css,162,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,22
style.css,163,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,20
style.css,164,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,39
style.css,165,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,0
style.css,166,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,0
style.css,167,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,23
style.css,168,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,0
style.css,169,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,3
style.css,170,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,13
style.css,171,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,37
style.css,172,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,8
style.css,173,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,9
style.css,174,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,0
style.css,175,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,0
style.css,176,css,69085b44,Edgar,2025-01-31,18:53:35,-08:00,2025-01-31T18:53:35-08:00,0,3
